time,p_iq,p_am,p_wm,p_thm,r_iq,r_am,r_wm,r_thm
3.1255653,-1.0,-210.35648,-0.08037452,-0.053658403,-1.0,1223.9543,0.17147152,-4.7602983
3.1606088,1.0,190.00081,0.08087313,-0.053658403,1.0,141.47948,0.17997552,-4.765199
3.1956437,1.0,140.17838,-0.017831014,-0.05368982,1.0,-4991.914,-0.24684523,-4.774027
3.2307029,1.0,-27.227352,-0.030512283,-0.05368982,1.0,4684.362,1.8148685,-4.7802787
3.2657387,-1.0,-61.773445,-0.1527581,-0.053784065,-1.0,39.102127,-0.22605154,-4.777043
3.3008142,1.0,-43.455536,-0.10087371,-0.053878315,1.0,-371.74704,-0.6344491,-4.779902
3.3360834,1.0,-29.592607,-0.15561865,-0.054098226,1.0,-1808.8156,2.0511503,-4.7806244
3.371126,-1.0,9.01559,-0.00018415188,-0.05406681,-1.0,-193.59982,-0.10978284,-4.782792
3.4061491,-1.0,-142.41873,-0.048217855,-0.05390973,-1.0,-1388.9552,-1.2815117,-4.789201
3.4411922,-1.0,-39.947044,-0.11485022,-0.05390973,-1.0,-89.89151,-0.63401324,-4.8038406
3.4762416,1.0,-6.260262,-0.05395209,-0.0538469,1.0,4813.2656,2.71706,-4.8208055
3.5112913,-1.0,-110.197296,0.01064158,-0.053469907,-1.0,-185.28578,-0.6439697,-4.841414
3.5463407,1.0,-50.522106,0.0015856439,-0.053249996,1.0,-212.7542,-0.42531374,-4.8618345
3.5822792,-1.0,121.91794,0.11077601,-0.053438492,-1.0,4457.2188,-1.1234013,-4.8846426
3.6173172,1.0,-158.70341,-0.08083704,-0.053501323,1.0,110.751915,-0.15923108,-4.900382
3.6523345,-1.0,-60.72708,-0.08538805,-0.053501323,-1.0,126.8158,-0.23103504,-4.9134507
3.6873517,-1.0,-57.485596,0.0023202233,-0.053375658,-1.0,1708.7198,0.13580091,-4.927902
3.722383,-1.0,97.12605,-0.010394342,-0.05353274,-1.0,-816.4098,-3.5083668,-4.944835
3.7574115,1.0,130.52611,-0.052691184,-0.053658403,1.0,82.24459,-0.84852797,-4.968649
3.7924364,1.0,82.70307,-0.017367873,-0.05368982,1.0,-1583.96,-1.4667413,-4.9928074
3.827964,1.0,8.695226,-0.00017995288,-0.05375265,1.0,-222.54993,-0.26893532,-5.007573
3.8630087,1.0,0.4447693,-5.3645786e-06,-0.05381548,1.0,379.4211,-0.34275013,-5.023218
3.898039,-1.0,-70.59945,-0.100070804,-0.05375265,-1.0,139.88455,-0.9893102,-5.034622
3.933961,1.0,16.952091,-0.15746973,-0.05406681,1.0,-285.1463,-0.5216457,-5.0335855
3.9689977,-1.0,32.39555,0.11600696,-0.053941146,-1.0,2359.125,-2.0096853,-5.0355334
4.004061,-1.0,67.51007,0.09198424,-0.054035395,-1.0,-2054.9775,-0.8782533,-5.034308
4.0394926,-1.0,78.222084,-0.06711335,-0.054161057,-1.0,-55.950764,-0.030622624,-5.03591
4.074837,-1.0,-110.46866,0.12749952,-0.05412964,-1.0,4666.5615,0.8158312,-5.032706
4.1098614,1.0,-40.223557,0.001376502,-0.05406681,1.0,-17.112953,0.21172233,-5.0309153
4.144893,1.0,42.363705,-0.030356938,-0.054318137,1.0,-133.15286,0.70988464,-5.0259514
4.179929,1.0,102.17342,0.04960034,-0.054318137,1.0,223.24655,0.7970324,-5.012568
4.2158685,-1.0,-6.340102,0.000131344,-0.054318137,-1.0,228.07625,0.36330584,-5.0066934
4.2508955,-1.0,-73.15248,0.017176883,-0.0544438,-1.0,-2590.6064,-0.85893136,-4.994347
4.2859244,-1.0,-73.748344,0.017185435,-0.054286722,-1.0,203.84253,0.9451876,-4.980084
4.3209467,1.0,-83.789635,-0.05007561,-0.05438097,1.0,-1288.8906,-0.07701169,-4.9678946
4.356619,1.0,-93.228096,-0.053567395,-0.05438097,1.0,1433.9454,3.050224,-4.9567733
4.391661,1.0,136.15886,-0.03643052,-0.054318137,1.0,57.899242,-0.1328506,-4.949108
