,time,iq,wm,thm
185,0.92716914,1.0,21.997366,-2.5246344
186,0.93217164,1.0,28.887457,-2.2496185
187,0.93718314,1.0,29.420364,-1.9215412
188,0.94218576,1.0,38.654922,-1.4145193
189,0.9471882,-1.0,40.373905,-0.89992476
190,0.9521961,1.0,39.996445,-0.4853282
191,0.9572042,1.0,491.34558,0.1328125
192,0.9622068,-1.0,456.8821,0.71890926
193,0.9672094,1.0,180.01994,1.2887955
194,0.97221196,1.0,87.07726,1.9092927
195,0.9772144,1.0,57.815094,2.447102
196,0.982225,1.0,61.570747,3.1693869
197,0.9872318,1.0,38.90203,3.7284975
198,0.9922346,1.0,36.721695,4.174888
199,0.99723715,-1.0,43.919838,4.788944
200,1.0022439,1.0,42.92181,5.3550277
201,1.0072463,1.0,42.91024,6.0267963
202,1.0122489,-1.0,46.66769,6.7199264
203,1.0172569,-1.0,740.813,7.646446
204,1.0222659,-1.0,341.22498,8.195503
205,1.0272756,1.0,63.75302,8.435867
206,1.0322781,-1.0,1.6135597,8.378252
207,1.0372858,-1.0,-7.0582447,8.081905
208,1.0422883,-1.0,-8.267195,7.616355
209,1.047292,1.0,-13.084208,7.0873117
210,1.0522945,1.0,-13.959341,6.451423
211,1.0573173,1.0,-11.302263,5.7185855
212,1.0623198,-1.0,-2.4604454,5.087408
213,1.0673223,-1.0,2.1849575,4.587551
214,1.0723246,-1.0,-1.9100456,4.1533527
215,1.0773342,-1.0,-721.3523,3.275906
216,1.0823892,1.0,-368.54486,2.6207585
217,1.0873957,1.0,-149.10725,1.9384065
218,1.0924025,-1.0,-43.56505,1.2695298
219,1.0974051,-1.0,-15.024054,0.6402707
220,1.102414,1.0,0.35084343,0.23224163
221,1.1074272,-1.0,1.514204,-0.24314308
222,1.1124374,-1.0,11.221325,-0.5830941
223,1.1174399,1.0,8.20603,-0.7898412
224,1.1224424,1.0,4.149887,-1.1871567
225,1.1274449,1.0,5.429985,-1.6895285
226,1.1324558,1.0,2.0813942,-2.1522217
227,1.1374583,-1.0,-184.36009,-2.5993314
228,1.1424608,-1.0,-119.3514,-2.843903
229,1.1474633,1.0,-86.206116,-3.249545
230,1.1525291,-1.0,-42.282433,-3.7673101
231,1.15754,1.0,-27.022604,-4.376558
232,1.1625426,1.0,-10.606596,-4.940693
233,1.1675451,-1.0,-2.1270084,-5.5933895
234,1.1725476,-1.0,4.0980797,-6.178572
235,1.1775501,1.0,12.187656,-6.5322833
236,1.1825525,1.0,1.4820786,-6.9392443
237,1.1875551,-1.0,7.355587,-7.4221997
238,1.1925609,1.0,7.7155533,-7.841382
239,1.1975635,-1.0,-345.64066,-8.377085
