condition,Period,RMSE,T2T,MAF,Ine,Group
PP,7,0.042523955433256926,1.5585,5.948800370051876,2.8539547435774804,Group 9
PP,8,0.06599316988168284,2.0588,5.258817697840166,2.58726267596951,Group 9
PP,9,0.05065537007355597,1.8689,5.927524220292812,2.7454037384676018,Group 9
PP,10,0.052761898891239736,1.8134000000000001,6.185508464852716,3.1351497925387655,Group 9
PP,11,0.04285479776535649,1.6741000000000001,3.5778471931505367,1.4273261505615518,Group 9
PP,12,0.04483999506358523,1.5673000000000001,2.9509913073861593,0.6968622673250555,Group 9
PP,13,0.040519206889905034,1.6448,5.827551717978803,2.5510415032100395,Group 9
PP,14,0.049047981722280386,1.5815000000000001,4.383198065965925,1.7032490981123154,Group 9
PP,15,0.06314558249311522,2.2618,7.148046381717814,3.7543094693645807,Group 9
PP,16,0.053371565125944716,1.7232,6.69087356553676,2.993045997770311,Group 9
PP,17,0.06890779413889832,2.1843,4.485230674993931,1.499318096554456,Group 9
PP,18,0.0413962404343222,1.3582,6.7916691765816495,3.313669655183752,Group 9
PP,19,0.05410255719797375,1.812,7.222073571655616,3.854914666035429,Group 9
PP,20,0.039243936186167415,1.5514000000000001,3.3719399099896363,1.4992443249321301,Group 9
PP,1,0.04708056185977172,1.6528,2.9256551078734936,1.1546157157142223,Group 10
PP,2,0.0438483869479193,1.5226000000000002,2.7798488260218206,0.5687198056768563,Group 10
PP,3,0.04766813563999409,1.4788000000000001,3.338453942888667,0.8019318355561907,Group 10
PP,4,0.038800234429599366,1.3486,2.068024201326138,0.4958230385615043,Group 10
PP,5,0.03751965698774293,1.3501,3.9618214566362755,1.1312107720021658,Group 10
PP,6,0.0373961563473839,1.3179,3.6490833465527808,0.7162648065724385,Group 10
PP,7,0.03884339003013447,1.2243000000000002,3.803706198959018,1.273575274956974,Group 10
PP,8,0.04094415001609208,1.4298,2.4878504355787694,0.7437283112977414,Group 10
PP,9,0.03562694604737335,1.3017,3.2999473758239186,0.7655372001304237,Group 10
PP,10,0.040097074916935524,1.4279000000000002,2.9858841353692487,0.778827554920466,Group 10
PP,11,0.04440474093682133,1.5885,2.5569740062652206,0.762056658706491,Group 10
PP,12,0.03772232536673328,1.3687,2.2582933392028854,0.4417645971785576,Group 10
PP,13,0.03614066574786945,1.3145,3.7523846385743043,1.3747194748895286,Group 10
PP,14,0.037917832908666245,1.3427,3.8359639851755105,1.3119447499259507,Group 10
PP,15,0.034852086846431485,1.2743,4.757860027874762,1.4200760975012028,Group 10
PP,16,0.036801282020254684,1.3407,3.2194306517449793,0.45900812608693886,Group 10
PP,17,0.0335245192748184,1.237,3.33794719828983,0.9769617659031629,Group 10
PP,18,0.04051928045601235,1.375,4.802656605546701,1.6554087834837927,Group 10
PP,19,0.043623531261272726,1.439,3.236404689736132,0.8761982133598151,Group 10
PP,20,0.03894310586471111,1.3091000000000002,6.594136606437548,2.7035016042562394,Group 10
AD,1,0.03346741087631041,1.1355,2.0059544070922612,0.35280456248137515,Group 1
AD,2,0.03940823779604398,1.2950000000000002,4.114059633395084,0.8496023769447028,Group 1
AD,3,0.029850786797485974,1.0323,2.891011023334509,0.4162151961095643,Group 1
AD,4,0.03131318641041871,1.1045,2.416721708426592,0.3604171072075666,Group 1
AD,5,0.03625447531269553,1.1531,2.962876324953972,0.5490908224500379,Group 1
AD,6,0.03348912068790523,1.1453,3.2588473931293707,0.4141986376056866,Group 1
AD,7,0.032914064745868866,1.0977000000000001,3.3636127397825417,0.726664811285849,Group 1
AD,8,0.026917718301644588,1.0024,3.003489647537368,0.7451797728194975,Group 1
AD,9,0.029495560711895814,1.0271000000000001,3.096129976599927,0.5302098529403945,Group 1
AD,10,0.03004315097598204,0.9996,3.265223697094868,0.5834155277292253,Group 1
AD,11,0.03307726981619683,1.0411000000000001,3.8526556208945903,0.5520144025147223,Group 1
AD,12,0.03949281041848007,1.2603,4.013587861479026,0.9979281214935009,Group 1
AD,13,0.029978707490023227,1.0068000000000001,2.444125666621732,0.46987097328621,Group 1
AD,14,0.031316671641985885,1.1479000000000001,2.3687925030428536,0.5512260248402151,Group 1
AD,15,0.031301683345246904,1.1072,2.339166530357353,0.5177932166533386,Group 1
AD,16,0.028836843219649744,1.0182,2.5334968411342285,0.6272116267813403,Group 1
AD,17,0.03004607145427338,1.0163,3.5691449286645027,0.6976574288234332,Group 1
AD,18,0.029637917852742248,0.9510000000000001,3.239852185484419,0.7836060457909652,Group 1
AD,19,0.02804735767014178,1.0056,3.611805289644913,0.6532110756209406,Group 1
AD,20,0.029502574227959363,1.0076,3.4321351864191967,1.2438439799225105,Group 1
AD,1,0.04388221159591958,1.5461,7.654846137052733,3.91021234081037,Group 2
AD,2,0.050223839160085965,1.7262000000000002,5.051069029383673,1.9972921670250192,Group 2
AD,3,0.038848892335073715,1.4612,7.084838047980217,3.1895929639959837,Group 2
AD,4,0.03224658162262446,1.1714,8.318158219800862,3.9345949198428287,Group 2
AD,5,0.0391179404567151,1.3326,6.330913214670129,2.6745507441965164,Group 2
AD,6,0.03586292091899862,1.2143000000000002,5.817210438233904,2.268166853125593,Group 2
AD,7,0.040464185480393156,1.4426,7.92692584577755,3.601597295599729,Group 2
AD,8,0.04265084371866542,1.4901,4.831045201590484,1.8670451892501734,Group 2
AD,9,0.031724850802049814,1.1094000000000002,6.968670413561092,3.4318343336011914,Group 2
AD,10,0.04097438037550698,1.4561000000000002,7.612230965777203,4.21644071172655,Group 2
AD,11,0.0308753569152439,1.1443,6.365829458737135,2.7268353119227355,Group 2
AD,12,0.04031251385276167,1.4669,7.56929705646853,3.479813794478103,Group 2
AD,13,0.02852679353102382,1.1024,4.325544920620912,1.4396559357569665,Group 2
AD,14,0.0345492833596111,1.2001000000000002,5.482340689111754,2.33773484962782,Group 2
AD,15,0.04153130411386956,1.5055,5.270625660682014,2.297765635775144,Group 2
AD,16,0.03532463423652419,1.2832000000000001,5.651168734342326,2.474027003002415,Group 2
AD,17,0.03704699834568892,1.2788000000000002,5.440996008321341,1.8524705164395268,Group 2
AD,18,0.04515428044280658,1.5875000000000001,5.101267592166436,2.2861671664004652,Group 2
AD,19,0.03429321652247017,1.2995,8.728114080505552,4.344354227072792,Group 2
AD,20,0.03417364470473646,1.1726,6.18835673540361,2.5225715634864865,Group 2
AD,1,0.0390863368982545,1.3367,4.396991409324202,1.634947988431943,Group 3
AD,2,0.04339132260791957,1.5354,4.645061478875998,1.1428198309254716,Group 3
AD,3,0.03875554602135283,1.2637,5.261605759634401,1.5192367283190187,Group 3
AD,4,0.03114635253158437,1.1464,5.836837792778871,1.3046302020271692,Group 3
AD,5,0.03768805027506314,1.2616,6.972040380426966,2.6180808680766057,Group 3
AD,6,0.03342565274238101,1.1871,8.003061782912498,3.7257129262309494,Group 3
AD,7,0.039107697498394794,1.2718,7.399032325384048,2.51596496084355,Group 3
AD,8,0.029775533660159757,1.0483,7.078668272603681,3.1182198731133344,Group 3
AD,9,0.03608414780816917,1.2786,7.08227303234714,2.7633182377471117,Group 3
AD,10,0.03662804236341714,1.2879,5.992683619945158,2.006031166796857,Group 3
AD,11,0.03237165530573887,1.0936000000000001,5.767145494228141,1.9195465357138763,Group 3
AD,12,0.037496065877315896,1.2897,7.752125892035318,3.3084252942268133,Group 3
AD,13,0.03317986536631361,1.1607,8.497670615724974,4.148670316733051,Group 3
AD,14,0.0407806992005113,1.4912,8.152183085681234,3.8882472869598432,Group 3
AD,15,0.05445359698978718,1.8877000000000002,8.487468721093443,4.760085265813386,Group 3
AD,16,0.03447546560158565,1.2041,9.208521490260976,5.135773162693341,Group 3
AD,17,0.04571693772935153,1.3584,8.08255910959722,3.3549049873755905,Group 3
AD,18,0.03754343752072503,1.1475,7.893551395365202,1.8438863933081575,Group 3
AD,19,0.05142336184984694,1.5779,7.542869859810443,2.427616253095649,Group 3
AD,20,0.05352832271823039,1.7268000000000001,7.891697549447874,1.1107103888196124,Group 3
AD,1,0.0475696856734298,1.7664000000000002,2.674644868010377,1.172269608954195,Group 4
AD,2,0.0465495564506234,1.6584,5.004693007680141,2.0043214928570827,Group 4
AD,3,0.0433232842857639,1.6097000000000001,5.941894015656301,2.3245150193254793,Group 4
AD,4,0.0497313084792889,1.7158,6.260353098937939,2.935048640798113,Group 4
AD,5,0.03706260398417265,1.3288,6.568618248805338,2.5231130525208263,Group 4
AD,6,0.043395799055229875,1.4562000000000002,5.381279839716083,2.183554825205244,Group 4
AD,7,0.042967105950325886,1.5791000000000002,4.437674790079323,1.2600104448228464,Group 4
AD,8,0.03486019043020982,1.3367,6.445217075346201,2.9748664197649073,Group 4
AD,9,0.04337624847768651,1.5672000000000001,4.895288860310818,1.6508006282187033,Group 4
AD,10,0.03931220304790186,1.3686,4.927695748762133,0.7595255944777212,Group 4
AD,11,0.03921495260608693,1.4149,5.638041229408456,2.5043922669792886,Group 4
AD,12,0.030716663734978646,1.1384,5.3692272397478815,2.0599711994464354,Group 4
AD,13,0.03891684565773855,1.3394000000000001,5.035605559576541,1.3071419367486692,Group 4
AD,14,0.04093846713496993,1.5937000000000001,4.276755051561873,1.1915666588875287,Group 4
AD,15,0.03518106311352652,1.2423,5.643321816002001,2.175944363236985,Group 4
AD,16,0.03357509926754089,1.2034,4.41963365726895,1.7239749781251918,Group 4
AD,17,0.03434314450097736,1.2524,6.087345766427568,2.2968117319775456,Group 4
AD,18,0.0363687429761126,1.2232,4.855178768304943,1.3159540579699986,Group 4
AD,19,0.03686097419775712,1.4054,3.7670825006091286,1.6872651265552365,Group 4
AD,20,0.03782929653499741,1.3975,3.573881720888676,1.183758709975596,Group 4
AD,1,0.06210070483466819,2.2474000000000003,1.0874315150942424,0.49178167397384137,Group 5
AD,2,0.055700931748662454,2.1550000000000002,2.7952971820638077,1.3490004058700444,Group 5
AD,3,0.09901268964651971,2.9535,9.19860171157785,5.588834265878107,Group 5
AD,4,0.04820473338644952,1.9235,3.909848517605983,2.072161520981553,Group 5
AD,5,0.07273262279614186,2.3089,3.756671595180794,2.0097950811237593,Group 5
AD,6,0.03916542878376786,1.8465,6.372502788349794,3.094564412524129,Group 5
AD,7,0.062390840231285744,1.8551000000000002,3.7482171851070287,1.756573324563073,Group 5
AD,8,0.04787399502651145,1.6453,2.5730669011419907,0.9234310427377104,Group 5
AD,9,0.04275205499562435,2.1100000000000003,3.225223424108698,1.3928156373383298,Group 5
AD,10,0.057691735083474,1.9699,6.462434372468609,3.6994310115115017,Group 5
AD,11,0.04452842017075357,1.6589,9.64367856590718,5.9154714176812675,Group 5
AD,12,0.07161555935256184,2.7159,4.307634501891014,2.2565914926194406,Group 5
AD,13,0.05156696810411134,1.8382,6.111918253821583,3.0703711808447482,Group 5
AD,14,0.04429447181431266,1.4972,4.8163338837445515,2.2076623169860743,Group 5
AD,15,0.047379864402581004,1.6679000000000002,5.048300814227528,2.7417451900680274,Group 5
AD,16,0.04241889195262144,1.5573000000000001,6.985078497371782,3.635009809636821,Group 5
AD,17,0.052995255578974804,1.9609,8.699003221730644,5.0224248021743705,Group 5
AD,18,0.04583872317574763,1.6039,2.7520680820521433,1.2382398403139174,Group 5
AD,19,0.04780587173233119,1.6459000000000001,5.1588228782209065,2.5890354469115064,Group 5
AD,20,0.035455549071372175,1.3159,6.482730703795666,3.632832541315796,Group 5
AD,1,0.06841041141709842,2.6005000000000003,1.1906033733376493,0.5386832349676922,Group 6
AD,2,0.04170721084320297,1.5508000000000002,1.7802179104070057,0.4463520984168299,Group 6
AD,3,0.03685703660849637,1.2834,2.309516849813434,0.8976705086046151,Group 6
AD,4,0.04842784337097158,1.5323,2.7285408578610597,0.6335224996089225,Group 6
AD,5,0.038869254850421565,1.407,1.6780711673430802,0.5339271701343286,Group 6
AD,6,0.0355804782933672,1.2001000000000002,1.2233765146550681,0.1795019500913042,Group 6
AD,7,0.038300882535412285,1.3125,1.1388533021758285,0.3268548355913692,Group 6
AD,8,0.03650661645758276,1.3071000000000002,1.602094880426985,0.5384215456427377,Group 6
AD,9,0.0434013479958366,1.3654000000000002,1.9067824147820325,0.8229774238365754,Group 6
AD,10,0.04955153392062833,1.5478,1.718510573897354,0.49277430101374164,Group 6
AD,11,0.04673082653266999,1.5111,1.9076574462509321,0.6394384849024961,Group 6
AD,12,0.03996876149637004,1.2885,1.879911722759697,0.5843156228174228,Group 6
